Track,Artist,Album,Date Added,Year,Bro
The Adults Are Talking,The Strokes,The New Abnormal,2020-11-27T11:44:44Z,2020,J
At The Door,The Strokes,The New Abnormal,2020-11-27T11:44:44Z,2020,J
Brooklyn Bridge To Chorus,The Strokes,The New Abnormal,2020-11-27T11:44:44Z,2020,J
Eternal Summer,The Strokes,The New Abnormal,2020-11-27T11:44:44Z,2020,J
Why Are Sundays So Depressing,The Strokes,The New Abnormal,2020-11-27T11:44:44Z,2020,J
Shadow of the Day,Linkin Park,Minutes to Midnight,2020-11-27T11:44:44Z,2020,J
The Less I Know The Better,Tame Impala,Currents,2020-11-27T11:44:44Z,2020,J
Lo/Hi,The Black Keys,"""Let's Rock""",2020-11-27T11:44:44Z,2020,J
Selfless,The Strokes,The New Abnormal,2020-11-27T11:44:44Z,2020,J
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),2020-11-27T11:44:44Z,2020,J
Make It Wit Chu,Queens of the Stone Age,Era Vulgaris,2020-11-27T11:44:44Z,2020,J
Tighten Up,The Black Keys,Brothers,2020-11-27T11:44:44Z,2020,J
Bad Decisions,The Strokes,The New Abnormal,2020-11-27T11:44:44Z,2020,J
Rhiannon,Fleetwood Mac,Fleetwood Mac,2020-11-27T11:44:44Z,2020,J
Adam's Song,blink-182,Enema Of The State,2020-11-27T11:44:44Z,2020,J
death bed (coffee for your head),Powfu beabadoobee,death bed (coffee for your head),2020-11-27T11:44:44Z,2020,J
Not The Same Anymore,The Strokes,The New Abnormal,2020-11-27T11:44:44Z,2020,J
No One Knows,Queens of the Stone Age,Songs For The Deaf,2020-11-27T11:44:44Z,2020,J
Be Careful,Cardi B,Invasion of Privacy,2020-11-27T11:44:44Z,2020,J
I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,2020-11-27T11:44:44Z,2020,J
On the Other Side,The Strokes,First Impressions Of Earth,2020-11-27T11:44:44Z,2020,J
Potential Breakup Song,Aly & AJ,Insomniatic,2020-11-27T11:44:44Z,2020,J
Landslide,Fleetwood Mac,Fleetwood Mac,2020-11-27T11:44:44Z,2020,J
Shine A Little Light,The Black Keys,"""Let's Rock""",2020-11-27T11:44:44Z,2020,J
Ode To The Mets,The Strokes,The New Abnormal,2020-11-27T11:44:44Z,2020,J
Sunday Best,Surfaces,Where the Light Is,2020-11-27T11:44:44Z,2020,J
Borderline,Tame Impala,The Slow Rush,2020-11-27T11:44:44Z,2020,J
Eagle Birds,The Black Keys,"""Let's Rock""",2020-11-27T11:44:44Z,2020,J
Someday,The Strokes,Is This It,2020-11-27T11:44:44Z,2020,J
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2020-11-27T11:44:44Z,2020,J
Say So,Doja Cat,Hot Pink,2020-11-27T11:44:44Z,2020,J
Savage Love (Laxed - Siren Beat),Jawsh 685 Jason Derulo,Savage Love (Laxed - Siren Beat),2020-11-27T11:44:44Z,2020,J
Under Cover of Darkness,The Strokes,Angles,2020-11-27T11:44:44Z,2020,J
Little Sister,Queens of the Stone Age,Lullabies To Paralyze,2020-11-27T11:44:44Z,2020,J
Howlin' for You,The Black Keys,Brothers,2020-11-27T11:44:44Z,2020,J
Busted and Blue,Gorillaz,Humanz (Deluxe),2020-11-27T11:44:44Z,2020,J
Under Control,The Strokes,Room On Fire,2020-11-27T11:44:44Z,2020,J
Blinding Lights,The Weeknd,Blinding Lights,2020-11-27T11:44:44Z,2020,J
...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),2020-11-27T11:44:44Z,2020,J
As Now We Take the Sacrament,Brian Daw,Lds Hymns and Songs You Love Double Album,2020-11-27T11:44:44Z,2020,J
Heart In a Cage,The Strokes,First Impressions Of Earth,2020-11-27T11:44:44Z,2020,J
Aries (feat. Peter Hook and Georgia),Gorillaz Peter Hook Georgia,"Song Machine, Season One: Strange Timez (Deluxe)",2020-11-27T11:44:44Z,2020,J
Better Living Through Chemistry,Queens of the Stone Age,Rated R,2020-11-27T11:44:44Z,2020,J
Sit Around And Miss You,The Black Keys,"""Let's Rock""",2020-11-27T11:44:44Z,2020,J
One Way Trigger,The Strokes,Comedown Machine,2020-11-27T11:44:44Z,2020,J
Helena,My Chemical Romance,Three Cheers for Sweet Revenge,2020-11-27T11:44:44Z,2020,J
Regular John,Queens of the Stone Age,Queens of the Stone Age,2020-11-27T11:44:44Z,2020,J
Weight of Love,The Black Keys,Turn Blue,2020-11-27T11:44:44Z,2020,J
Welcome To Japan,The Strokes,Comedown Machine,2020-11-27T11:44:44Z,2020,J
Saturnz Barz (feat. Popcaan),Gorillaz Popcaan,Humanz (Deluxe),2020-11-27T11:44:44Z,2020,J
"Sick, Sick, Sick",Queens of the Stone Age,Era Vulgaris,2020-11-27T11:44:44Z,2020,J
The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),2020-11-27T11:44:44Z,2020,J
What Ever Happened?,The Strokes,Room On Fire,2020-11-27T11:44:44Z,2020,J
The Only One,The Black Keys,Brothers,2020-11-27T11:44:44Z,2020,J
Burn The Witch,Queens of the Stone Age,Lullabies To Paralyze,2020-11-27T11:44:44Z,2020,J
Alien Boy,Oliver Tree,Ugly is Beautiful,2020-11-27T11:44:44Z,2020,J
12:51,The Strokes,Room On Fire,2020-11-27T11:44:44Z,2020,J
Countach,Ratatat,Magnifique,2020-11-27T11:44:44Z,2020,J
3's & 7's,Queens of the Stone Age,Era Vulgaris,2020-11-27T11:44:44Z,2020,J
You Need To Calm Down,Taylor Swift,Lover,2020-11-27T11:44:44Z,2020,J
Life Is Simple in the Moonlight,The Strokes,Angles,2020-11-27T11:44:44Z,2020,J
